Image#,Crib#,Class 1 Value,Class 2 Value,Classification
47128,18095,7.346512,-8.115040,0
47128,18096,5.743007,-6.424641,0
47129,18097,4.165809,-3.236121,0
47129,18098,6.126617,-6.797050,0
47130,18099,8.182512,-9.082952,0
47130,18100,5.418308,-6.079834,0
47131,18101,3.405968,-0.169106,0
47131,18102,7.023709,-7.855673,0
47132,18103,5.911386,-5.997990,0
47132,18104,4.965340,-4.933996,0
47133,18105,5.685462,-6.240822,0
47133,18106,7.006852,-7.732680,0
47134,18107,4.408044,-4.613495,0
47134,18108,5.108580,-5.316618,0
47135,18109,5.073011,-5.375715,0
47135,18110,5.325826,-5.670562,0
47135,18111,6.086341,-6.732213,0
47136,18112,5.218523,-5.662308,0
47136,18113,6.411944,-7.169894,0
47137,18114,4.557229,-5.005535,0
47137,18115,6.668563,-7.308259,0
47138,18116,5.436063,-6.108314,0
47138,18117,8.073306,-8.946646,0
47139,18118,9.173256,-10.153171,0
47139,18119,6.270203,-6.916383,0
47140,18120,6.231769,-6.337598,0
47140,18121,6.055985,-6.607737,0
47141,18122,5.616068,-6.081796,0
47141,18123,5.496655,-5.940418,0
47142,18124,7.153901,-7.898991,0
47142,18125,4.236807,-3.971779,0
47143,18126,5.184206,-5.443291,0
47143,18127,6.346146,-7.074129,0
47144,18128,7.772009,-8.648132,0
47144,18129,5.704651,-6.300525,0
47144,18130,5.528860,-6.168835,0
47145,18131,5.386665,-5.863100,0
47145,18132,6.789507,-7.535579,0
47146,18133,6.434044,-7.111934,0
47146,18134,5.507709,-6.134178,0
47147,18135,6.822206,-7.555175,0
47147,18136,3.530456,-2.590592,0
47148,18137,4.222464,-3.308767,0
47148,18138,7.388644,-8.179630,0
47149,18139,6.034706,-6.694836,0
47149,18140,4.916864,-5.302936,0
47149,18141,3.742953,-4.076399,0
47150,18142,7.123181,-7.925551,0
47150,18143,2.529287,0.558013,0
47151,18144,2.449533,1.063877,0
47151,18145,4.058518,-4.394648,0
47152,18146,6.224474,-6.870246,0
47152,18147,6.067517,-6.720383,0
47153,18148,5.888837,-6.502483,0
47153,18149,3.918397,-3.553606,0
47154,18150,6.813877,-7.528142,0
47154,18151,4.689004,-5.026304,0
47155,18152,7.231440,-7.968589,0
47155,18153,8.067884,-8.942973,0
47156,18154,7.242100,-8.135717,0
47156,18155,4.697034,-5.146452,0
47157,18156,6.027375,-6.640059,0
47157,18157,5.389654,-5.806660,0
47158,18158,6.728956,-7.469292,0
47158,18159,2.512450,-0.925460,0
47158,18160,3.586994,-3.732557,0
47159,18161,4.115794,-4.160135,0
47159,18162,3.438336,-2.246946,0
47160,18163,5.258083,-5.010911,0
47160,18164,4.657374,-5.110863,0
47161,18165,4.957946,-5.545282,0
47161,18166,4.104918,-3.715983,0
47162,18167,4.919151,-5.253503,0
47162,18168,4.892172,-5.122927,0
47163,18169,5.671214,-6.245646,0
47163,18170,5.184363,-5.751191,0
47164,18171,6.264870,-7.009054,0
47164,18172,4.008882,-4.451474,0
47165,18173,6.337827,-7.105545,0
47165,18174,6.850472,-7.673428,0
47166,18175,4.381630,-4.840458,0
47166,18176,5.244248,-5.822156,0
47167,18177,2.096155,0.092245,0
47167,18178,2.250313,-0.880710,0
47167,18179,4.024730,-3.603184,0
47168,18180,5.424543,-6.069297,0
47168,18181,6.079603,-6.676797,0
47169,18182,5.408081,-6.045107,0
47169,18183,5.075031,-5.425458,0
47169,18184,4.135504,-4.514797,0
47170,18185,5.389904,-6.023400,0
47170,18186,3.615754,-3.705918,0
47171,18187,3.798086,-3.243635,0
47171,18188,3.452070,-3.294326,0
47172,18189,4.038644,-4.247733,0
47172,18190,5.168791,-5.759073,0
47173,18191,7.043727,-7.734920,0
47173,18192,5.651227,-6.295223,0
