Image#,Crib#,Row,Column,Class 1 Value,Class 2 Value,Classification
8036,63,0,3,-0.232434,-0.766875,0
8037,64,0,0,-0.263090,0.263616,0
8037,64,0,1,5.761334,-4.978256,0
8037,64,0,2,0.471682,-1.204326,0
8037,64,0,3,2.631859,-2.893853,0
8037,64,1,0,-0.592262,0.003919,0
8037,64,1,1,-3.724424,2.899140,1
8037,64,1,2,7.508564,-5.889997,0
8037,64,1,3,4.562576,-4.257588,0
8037,64,2,0,3.096866,-3.266777,0
8037,64,2,1,0.182101,-0.101537,0
8037,64,2,2,-4.007639,2.628038,1
8037,64,2,3,-4.562182,3.692022,1
8037,64,3,0,3.526653,-3.711699,0
8037,64,3,1,-1.031308,0.144147,1
8037,64,3,2,6.019798,-4.584980,0
8037,64,3,3,-6.069330,3.839036,1
8037,64,4,0,2.119666,-2.168665,0
8037,64,4,1,-3.658617,3.009405,1
8037,64,4,2,-0.366167,0.100309,0
8037,64,4,3,-3.633080,2.295942,1
8037,64,5,0,3.455489,-3.071343,0
8037,64,5,1,3.527565,-2.812727,0
8037,64,5,2,-5.609428,3.352350,1
8037,64,5,3,-8.507655,6.109433,1
8037,64,6,0,3.634327,-3.531761,0
8037,64,6,1,-0.233631,-0.127617,0
8037,64,6,2,1.606321,-1.487543,0
8037,64,6,3,-1.700997,0.782873,1
8038,65,0,0,5.680371,-4.694115,0
8038,65,0,1,-2.253906,1.606394,1
8038,65,0,2,0.138301,-0.012894,0
8038,65,0,3,-1.781236,0.549314,1
8038,65,1,0,3.806361,-3.497038,0
8038,65,1,1,6.018462,-5.083358,0
8038,65,1,2,2.855064,-1.965714,0
8038,65,1,3,1.157328,-1.637686,0
8039,66,0,0,-0.851899,0.318435,0
8039,66,0,1,1.237603,-1.278515,0
8039,66,0,2,-2.371159,0.827247,1
8039,66,0,3,4.352374,-3.619181,0
8039,67,0,0,0.132586,-0.847045,0
8039,67,0,1,-2.281806,0.959373,1
8039,67,0,2,6.098822,-4.760540,0
8039,67,0,3,-4.399176,2.454427,1
8040,68,0,0,0.903034,-0.865957,0
8040,68,0,1,1.298519,-1.222625,0
8040,68,0,2,-4.287129,3.306168,1
8040,68,0,3,-1.483102,0.007897,1
8040,68,1,0,0.211039,-0.819859,0
8040,68,1,1,-7.576588,5.023057,1
8040,68,1,2,-7.477242,5.881023,1
8040,68,1,3,-7.134643,5.234200,1
8040,68,2,0,8.229098,-5.913384,0
8040,68,2,1,3.234555,-2.351667,0
