Image#,Crib#,Class 1 Value,Class 2 Value,Classification
60408,16039,-0.155184,-2.654793,0
60409,16040,-3.961495,1.818874,1
60409,16041,0.748033,-3.056323,0
60410,16042,-1.338986,-0.942089,1
60410,16043,-1.899093,-0.230024,1
60411,16044,-1.150901,-0.862000,1
60411,16045,-2.480354,0.197127,1
60411,16046,-1.306984,-0.551667,1
60412,16047,-2.646019,0.630771,1
60412,16048,2.739879,-5.625651,0
60413,16049,0.482856,-2.805846,0
60413,16050,-8.250408,5.212472,1
60414,16051,-0.424180,-1.488591,0
60415,16052,3.674907,-6.891870,0
60415,16053,-2.722216,0.647939,1
60416,16054,-4.718371,2.048820,1
60416,16055,2.568613,-5.115504,0
60417,16056,1.898826,-4.403781,0
60417,16057,1.599489,-4.164603,0
60418,16058,0.919669,-3.258115,0
60418,16059,1.719039,-4.040980,0
60419,16060,1.295586,-3.589392,0
60419,16061,-2.414262,0.101749,1
60420,16062,0.328353,-2.395756,0
60420,16063,-1.577620,-1.269405,1
60421,16064,-4.206434,1.537421,1
60421,16065,4.804190,-8.958782,0
60422,16066,1.561790,-4.308609,0
60423,16067,-3.728557,1.426134,1
60423,16068,0.254077,-3.004141,0
60424,16069,3.974911,-7.411066,0
60424,16070,4.443768,-8.461333,0
60425,16071,3.048417,-5.795867,0
60425,16072,1.162427,-3.528676,0
60426,16073,-4.186460,1.977934,1
60426,16074,-5.144842,2.491203,1
60427,16075,-6.860914,4.247061,1
60427,16076,-5.290725,2.921879,1
60428,16077,2.902467,-5.710884,0
60428,16078,2.068781,-5.309413,0
60429,16079,3.347933,-6.269942,0
60429,16080,3.114224,-5.943163,0
60430,16081,3.297125,-6.155292,0
60431,16082,2.254261,-4.877462,0
60431,16083,3.645292,-6.781250,0
60432,16084,1.154308,-3.790430,0
60432,16085,4.070978,-7.618053,0
60433,16086,4.304751,-8.051738,0
60433,16087,2.205522,-4.800265,0
60434,16088,-1.029511,-1.829433,1
60434,16089,-5.162764,2.825022,1
60435,16090,3.645159,-7.040960,0
60435,16091,3.266887,-6.168417,0
60436,16092,2.971509,-5.875592,0
60436,16093,-1.482215,-0.574730,1
60437,16094,1.055454,-3.660464,0
60437,16095,2.782164,-5.180376,0
60438,16096,0.540371,-3.358312,0
60438,16097,1.934236,-5.107342,0
60439,16098,-3.386483,0.865742,1
60440,16099,-0.411726,-1.985904,0
60440,16100,1.797922,-4.041109,0
60441,16101,3.927383,-7.254663,0
60441,16102,3.535841,-6.579387,0
60442,16103,-4.972244,2.509858,1
60442,16104,-7.668662,4.794011,1
60443,16105,-1.455091,-0.874817,1
60443,16106,2.635796,-5.658439,0
60444,16107,1.612548,-3.782448,0
60444,16108,2.838443,-5.362277,0
60445,16109,2.883574,-5.852112,0
60445,16110,3.292740,-6.198356,0
60446,16111,0.714132,-3.083292,0
60446,16112,3.889205,-7.364684,0
60447,16113,5.402181,-10.246325,0
60448,16114,-3.208535,0.579034,1
60448,16115,-3.605489,0.950736,1
60449,16116,-0.816676,-1.293476,0
60449,16117,1.850208,-4.463280,0
60450,16118,0.687017,-2.934445,0
60450,16119,1.895936,-4.966466,0
60451,16120,3.636819,-6.911276,0
60451,16121,0.968480,-3.665359,0
60452,16122,3.294168,-6.075607,0
60452,16123,-2.946047,0.433087,1
60453,16124,1.874074,-4.429197,0
60453,16125,-4.432680,1.686179,1
60454,16126,2.202380,-4.954419,0
60454,16127,-2.714612,0.860481,1
60455,16128,3.565011,-6.699880,0
60455,16129,-1.564251,-0.538532,1
60456,16130,3.228730,-6.015529,0
60457,16131,3.834633,-7.244935,0
60457,16132,-1.668583,-0.324120,1
60458,16133,-1.823049,-0.551757,1
60458,16134,1.266208,-3.591161,0
60459,16135,0.768243,-3.255875,0
60459,16136,0.899291,-3.532064,0
60460,16137,-7.558081,4.720612,1
60460,16138,-2.637540,-0.145320,1
60461,16139,1.171655,-3.698543,0
60461,16140,-9.664922,6.057175,1
60462,16141,-2.815609,0.331425,1
60462,16142,-0.710580,-2.085454,0
60463,16143,-12.867490,8.235188,1
60463,16144,-13.255260,8.428059,1
60464,16145,-9.542803,6.063158,1
60465,16146,-12.419593,7.834743,1
60465,16147,2.262793,-4.675961,0
60466,16148,-5.180764,2.254676,1
60466,16149,-3.856225,1.241345,1
60467,16150,-4.845169,2.363190,1
60467,16151,0.735618,-3.142478,0
60468,16152,2.751299,-5.418018,0
60468,16153,0.724019,-3.212327,0
60469,16154,-7.247217,4.601302,1
60469,16155,-8.477104,5.317755,1
60470,16156,-9.708055,6.151367,1
60470,16157,-11.351660,7.232736,1
60471,16158,-11.860600,7.507446,1
60471,16159,-10.393410,6.636905,1
60472,16160,-11.595205,7.337272,1
60472,16161,-8.928051,5.713280,1
60473,16162,-6.142206,3.658034,1
60474,16163,-2.401524,0.387684,1
60474,16164,0.219896,-2.516499,0
60474,16165,-0.408900,-1.647393,0
60475,16166,-5.357001,3.035353,1
60475,16167,-8.472388,5.451535,1
60476,16168,-10.624441,6.677631,1
60477,16169,-11.350074,7.192269,1
60477,16170,-9.196265,5.913924,1
60478,16171,2.425268,-5.324079,0
60478,16172,3.158486,-6.737775,0
60479,16173,3.050848,-5.868601,0
60479,16174,5.169679,-9.780951,0
60480,16175,3.953635,-7.679585,0
60480,16176,0.713215,-3.560023,0
60481,16177,-7.994702,5.001669,1
60481,16178,-2.448616,0.057951,1
60482,16179,3.878026,-7.187109,0
60482,16180,0.773670,-4.005451,0
60483,16181,4.200165,-7.753133,0
60483,16182,3.261688,-6.270503,0
60484,16183,4.515669,-8.463141,0
60484,16184,-1.597350,-0.868049,1
60485,16185,-1.796844,-0.956318,1
60485,16186,-2.014049,-0.021602,1
60486,16187,-1.797426,-1.058201,1
60486,16188,0.653762,-3.222147,0
60487,16189,4.779526,-9.172296,0
60488,16190,-2.681988,-0.006993,1
60488,16191,-12.771484,8.092354,1
60489,16192,-8.801172,5.694489,1
60489,16193,-6.066452,3.941588,1
60490,16194,-6.451953,4.058051,1
60490,16195,-8.939886,5.644694,1
60491,16196,-6.546957,3.726339,1
60491,16197,-13.201539,8.437297,1
60492,16198,-11.131136,7.064063,1
60492,16199,-13.636982,8.672320,1
60493,16200,-11.326041,7.188796,1
60493,16201,-9.404249,5.999279,1
60494,16202,-7.557391,4.819892,1
60494,16203,-5.062287,2.469341,1
60495,16204,-7.232597,4.645548,1
60495,16205,-7.875328,5.057721,1
60496,16206,-12.157070,7.755148,1
60497,16207,-9.945736,6.307437,1
60497,16208,-9.893693,6.476184,1
60498,16209,3.429408,-6.560553,0
60498,16210,4.706594,-8.940582,0
60499,16211,4.797021,-9.114383,0
60499,16212,1.631609,-5.027647,0
60500,16213,5.928163,-11.271421,0
60500,16214,1.866440,-5.277313,0
60501,16215,1.532735,-5.003956,0
60501,16216,1.068208,-4.106138,0
60502,16217,4.666699,-8.717370,0
60502,16218,6.837984,-13.268147,0
60503,16219,5.893296,-11.199212,0
60503,16220,2.968679,-5.626415,0
60504,16221,2.361863,-5.329148,0
60504,16222,4.934384,-9.264776,0
60505,16223,4.888261,-9.239910,0
60505,16224,5.860518,-11.212223,0
60506,16225,4.509321,-8.399352,0
60506,16226,0.893074,-3.582929,0
60507,16227,5.889474,-11.375030,0
60508,16228,5.342192,-10.131333,0
60508,16229,7.040935,-13.653880,0
60509,16230,4.125667,-7.943442,0
60509,16231,3.661070,-7.925812,0
60510,16232,7.346673,-14.283017,0
60510,16233,6.488028,-12.623332,0
60511,16234,2.379538,-5.242733,0
60511,16235,7.118550,-13.536873,0
60512,16236,4.669990,-8.799845,0
60512,16237,0.787651,-4.311903,0
60513,16238,5.418585,-10.391263,0
60513,16239,5.577147,-10.737036,0
60514,16240,3.772560,-7.538823,0
60514,16241,5.949292,-11.335438,0
60515,16242,5.356005,-10.214378,0
60515,16243,5.235012,-10.095039,0
60516,16244,5.279191,-10.203069,0
60516,16245,7.486876,-14.499110,0
60517,16246,5.257749,-9.892406,0
60517,16247,3.911166,-7.572332,0
60518,16248,4.665642,-8.894739,0
60518,16249,3.630860,-7.110067,0
60519,16250,0.112890,-3.225877,0
60520,16251,2.661821,-5.468703,0
60520,16252,1.622480,-4.385316,0
60521,16253,5.317958,-10.047677,0
60521,16254,4.689107,-8.808229,0
60522,16255,-2.456383,-0.228183,1
60522,16256,4.310343,-8.119478,0
60523,16257,2.557444,-5.510003,0
60523,16258,4.962924,-9.529067,0
60524,16259,3.144046,-5.983255,0
60524,16260,-2.224296,-0.247939,1
60525,16261,3.210842,-6.217375,0
60525,16262,2.928916,-5.392743,0
60526,16263,-2.031967,-0.848124,1
60526,16264,-4.268107,0.990502,1
60527,16265,2.707253,-5.219534,0
60527,16266,2.136721,-4.488650,0
60528,16267,3.044165,-5.748878,0
60528,16268,1.399420,-3.780195,0
60529,16269,-3.556642,1.145259,1
60530,16270,1.344943,-4.650274,0
60530,16271,0.900101,-3.629143,0
60531,16272,3.654446,-6.982681,0
60531,16273,-6.612717,4.351936,1
60532,16274,-4.814060,2.908295,1
60532,16275,-3.566640,1.479665,1
60533,16276,5.699124,-10.993071,0
60533,16277,4.014246,-7.667346,0
60534,16278,2.959984,-5.542221,0
60534,16279,-1.519376,-0.629748,1
60535,16280,0.491289,-3.058436,0
60535,16281,1.860234,-4.630868,0
60536,16282,0.825048,-3.132282,0
60536,16283,-0.028261,-2.297544,0
60537,16284,1.267714,-3.646144,0
60537,16285,-2.449905,0.494876,1
60537,16286,0.338197,-2.870123,0
60538,16287,3.722635,-7.093738,0
60538,16288,4.222891,-8.101621,0
60539,16289,2.847420,-5.475678,0
60539,16290,-1.257276,-1.291469,1
60540,16291,1.356413,-3.778135,0
60540,16292,2.760395,-5.265652,0
60541,16293,4.952990,-9.299335,0
60541,16294,-2.719043,0.600533,1
60542,16295,-4.466073,2.276255,1
60542,16296,4.384366,-8.082495,0
60543,16297,3.192315,-6.056092,0
60544,16298,4.361222,-8.374856,0
60544,16299,-2.477449,0.792050,1
60545,16300,3.066591,-5.803200,0
60545,16301,2.919981,-5.950587,0
60546,16302,3.119178,-5.879285,0
60546,16303,0.011736,-2.298356,0
60547,16304,0.991666,-3.631225,0
60547,16305,3.252345,-6.235683,0
60548,16306,-2.213734,-0.100858,1
60548,16307,1.194550,-4.461364,0
60549,16308,2.188982,-4.904045,0
60549,16309,0.853591,-3.341036,0
60550,16310,-1.555589,-0.583473,1
60550,16311,-0.570115,-1.662807,0
60551,16312,4.066834,-7.656532,0
60551,16313,4.576837,-8.756746,0
60552,16314,2.531894,-5.246753,0
60552,16315,4.453720,-8.441025,0
